2026-04-09T12:34:03 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:03 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:03 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:03 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:03 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:03 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:03 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:04 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:05 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:06 | DEBUG    | src.cv_models.face_detection:149 | Detected 1 face(s) in frame.
2026-04-09T12:34:06 | INFO     | __main__:207 | Quit key pressed — shutting down.
2026-04-09T12:34:06 | INFO     | src.preprocessing.video_capture:159 | Camera device released.
2026-04-09T12:34:06 | INFO     | __main__:211 | Pipeline terminated cleanly.
2026-04-09T13:10:24 | DEBUG    | src.cv_models.face_detection:87 | Loading Haar Cascade from: /Users/galaxy_grid/Acads/Projects/Ai/ai-interview-trainer/.venv/lib/python3.14/site-packages/cv2/data/haarcascade_frontalface_default.xml
2026-04-09T13:10:24 | INFO     | src.cv_models.face_detection:97 | Haar Cascade classifier loaded successfully.
2026-04-09T13:10:25 | INFO     | src.cv_models.emotion_detection:169 | EmotionDetector initialised (FaceLandmarker blendshapes, interval=5).
